cd_conexao	cd_ambiente	cd_aplicacao	cd_cenario	username	ds_conexao
GA_DEV1_NETSMS_BH.NET	DEV1	NETSMS	BH	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.78)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=DBHHP)))
GA_DEV1_NETSMS_BRA.NET	DEV1	NETSMS	BRA	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.64.157)(PORT=1521))(CONNECT_DATA=(service_name=dev01)))
GA_DEV1_NETSMS_CTV.NET	DEV1	NETSMS	CTV	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.78)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=DCTV1HP)))
GA_DEV1_NETSMS_ISP.NET	DEV1	NETSMS	ISP	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.78)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=DISPHP)))
GA_DEV4_NETSMS_ABC.NET	DEV4	NETSMS	ABC	CORE	(DESCRIPTION=(ADDRESS_LIST=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.14)(PORT=1523)))(CONNECT_DATA=(SID=DDABC13F)(SERVER=DEDICATED)))
GA_DEV4_NETSMS_BH.NET	DEV4	NETSMS	BH	CORE	(DESCRIPTION=(ADDRESS_LIST=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.14)(PORT=1523)))(CONNECT_DATA=(SID=DDBH13F)))
GA_DEV4_NETSMS_ISP.NET	DEV4	NETSMS	ISP	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=MUCISP01)))
GA_DEV4_NETSMS_SUL.NET	DEV4	NETSMS	SUL	CORE	(DESCRIPTION=(ADDRESS_LIST=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.14)(PORT=1523)))(CONNECT_DATA=(SERVICE_NAME=DDSUL11F)))
GA_SIT1_NETSMS_ABC.NET	SIT1	NETSMS	ABC	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.28)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=SBRIHP)))
GA_SIT1_NETSMS_BH.NET	SIT1	NETSMS	BH	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.25)(PORT=1521))(CONNECT_DATA=(SID=SBHHP)))
GA_SIT1_NETSMS_BRA.NET	SIT1	NETSMS	BRA	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.14)(PORT=1521))(CONNECT_DATA=(SID=SIT01)))
GA_SIT1_NETSMS_ISP.NET	SIT1	NETSMS	ISP	CORE	(DESCRIPTION=(ADDRESS_LIST=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.28)(PORT=1521)))(CONNECT_DATA=(SERVICE_NAME=SISPHP)))
GA_SIT2_NETSMS_ABC.NET	SIT2	NETSMS	ABC	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.78)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=SBRISP)))
GA_SIT2_NETSMS_BH.NET	SIT2	NETSMS	BH	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.25)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=SBHSP)))
GA_SIT2_NETSMS_BRA.NET	SIT2	NETSMS	BRA	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.14)(PORT=1521))(CONNECT_DATA=(SID=SIT02)))
GA_SIT2_NETSMS_ISP.NET	SIT2	NETSMS	ISP	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.78)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=SISPSP)))
GA_SIT3_NETSMS_ABC.NET	SIT3	NETSMS	ABC	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.78)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=SBRI3SP)))
GA_SIT3_NETSMS_BH.NET	SIT3	NETSMS	BH	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.25)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=SBH3SP)))
GA_SIT3_NETSMS_BRA.NET	SIT3	NETSMS	BRA	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.14)(PORT=1521))(CONNECT_DATA=(SID=SIT03)))
GA_SIT3_NETSMS_CTV.NET	SIT3	NETSMS	CTV	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.78)(PORT=1521))(CONNECT_DATA=(SID=SCTV1MG)))
GA_SIT3_NETSMS_ISP.NET	SIT3	NETSMS	ISP	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.78)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=SISP3SP)))
GA_SIT4_NETSMS_BH.NET	SIT4	NETSMS	BH	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=TIBHPV1)))
GA_SIT4_NETSMS_BRA.NET	SIT4	NETSMS	BRA	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=TIBRA03F)))
GA_SIT4_NETSMS_CTV.NET	SIT4	NETSMS	CTV	CORE	(DESCRIPTION=(ADDRESS_LIST=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523)))(CONNECT_DATA=(SERVER=DEDICATED)(SERVICE_NAME=TICTVLE2)))
GA_SIT4_NETSMS_ISP.NET	SIT4	NETSMS	ISP	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=TIISP02F)))
GA_SIT4_NETSMS_SUL.NET	SIT4	NETSMS	SUL	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=TISUL66F)))
GA_SIT5_NETSMS_ABC.NET	SIT5	NETSMS	ABC	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=TIABC02F)))
GA_SIT5_NETSMS_BH.NET	SIT5	NETSMS	BH	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=TIBH03F)))
GA_SIT5_NETSMS_BRA.NET	SIT5	NETSMS	BRA	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.27)(PORT=1521))(CONNECT_DATA=(SID=SIT05)))
GA_SIT5_NETSMS_CTV.NET	SIT5	NETSMS	CTV	CORE	(DESCRIPTION=(ADDRESS_LIST=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523)))(CONNECT_DATA=(SERVER=DEDICATED)(SERVICE_NAME=TICTVLD1)))
GA_SIT5_NETSMS_SAO.NET	SIT5	NETSMS	SAO	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=TISP03F)))
GA_SIT5_NETSMS_SOC.NET	SIT5	NETSMS	SOC	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=BIGT)))
GA_SIT5_NETSMS_SUL.NET	SIT5	NETSMS	SUL	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=TISULPV1)))
GA_SIT6_NETSMS_ABC.NET	SIT6	NETSMS	ABC	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.78)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=UATVBRI)))
GA_SIT6_NETSMS_BH.NET	SIT6	NETSMS	BH	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.25)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=UATVBH)))
GA_SIT6_NETSMS_BRA.NET	SIT6	NETSMS	BRA	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.27)(PORT=1521))(CONNECT_DATA=(SID=SIT06)))
GA_SIT6_NETSMS_CTV.NET	SIT6	NETSMS	CTV	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.78)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=UATCTV)))
GA_SIT6_NETSMS_ISP.NET	SIT6	NETSMS	ISP	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.78)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=UATVISP)))
GA_SIT7_NETSMS_ABC.NET	SIT7	NETSMS	ABC	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.25)(PORT=1523))(CONNECT_DATA=(SID=BRISAMX)))
GA_SIT7_NETSMS_BH.NET	SIT7	NETSMS	BH	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.25)(PORT=1523))(CONNECT_DATA=(SID=BHSAMX)))
GA_SIT7_NETSMS_BRA.NET	SIT7	NETSMS	BRA	CORE	(DESCRIPTION = (ADDRESS_LIST =(ADDRESS =(PROTOCOL = TCP)(HOST = 5.17.8.14)(PORT = 1523))) (CONNECT_DATA = (SERVICE_NAME = BRASAMX1)))
GA_SIT7_NETSMS_CTV.NET	SIT7	NETSMS	CTV	CORE	(DESCRIPTION=(ADDRESS_LIST=(ADDRESS=(PROTOCOL=TCP)(HOST=RACNET-CLTFT01.dcing.corp)(PORT=1521)))(CONNECT_DATA=(SERVICE_NAME=dbri1ctv)))
GA_SIT7_NETSMS_ISP.NET	SIT7	NETSMS	ISP	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.25)(PORT=1523))(CONNECT_DATA=(SID=ISPSAMX)))
GA_SIT7_NETSMS_SAO.NET	SIT7	NETSMS	SAO	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.25)(PORT=1523))(CONNECT_DATA=(SID=SPOSAMX)))
GA_SIT7_NETSMS_SOC.NET	SIT7	NETSMS	SOC	CORE	(DESCRIPTION=(ADDRESS_LIST=(ADDRESS=(PROTOCOL=TCP)(HOST=RACNET-CLTFT01.dcing.corp)(PORT=1521)))(CONNECT_DATA=(SERVICE_NAME=SOCSAMX1)))
GA_SIT7_NETSMS_SUL.NET	SIT7	NETSMS	SUL	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.25)(PORT=1523))(CONNECT_DATA=(SID=SULTOA)))
GA_SIT8_NETSMS_ABC.NET	SIT8	NETSMS	ABC	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.78)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=DBRISP)))
GA_SIT8_NETSMS_BH.NET	SIT8	NETSMS	BH	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.25)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=DBHSP)))
GA_SIT8_NETSMS_BRA.NET	SIT8	NETSMS	BRA	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.64.166)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=DBRASP1)))
GA_SIT8_NETSMS_ISP.NET	SIT8	NETSMS	ISP	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.78)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=DISPSP)))
GA_STRESS_NETSMS_BRA.NET	STRESS	NETSMS	BRA	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.14)(PORT=1521))(CONNECT_DATA=(SID=DB09ST)))
GA_STRESS_NETSMS_SUL.NET	STRESS	NETSMS	SUL	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.31)(PORT=1521))(CONNECT_DATA=(SID=SULST)))
